name,family,pretax_cagr,aftertax_cagr,pretax_mdd,aftertax_mdd,is_aftertax_cagr,oos_aftertax_cagr,oos_retention,oos_pass,total_tax_paid_krw,turnover,rows,params_json,mdd_pass
baseline,baseline,0.4156743616862226,0.3859792803756308,-0.40467363761426745,-0.5343459511576858,0.4308985010729598,0.2936024227756351,0.6813725785644408,False,4216176717.128256,102.35,3673,,
A/coarse/0001,A,0.40078760536021774,0.3714208660192422,-0.3989359395495149,-0.5259206732311934,0.4109982415918467,0.2903995331683418,0.7065712301921018,True,3612409625.530177,113.9,3673,"{""dist200_enter"": 100.8, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",True
A/coarse/0002,A,0.40722002538801627,0.37774263421111365,-0.4031101306642578,-0.5305212222795836,0.4173975214577299,0.29656410596427785,0.7105075874158276,True,3859139117.639174,114.6,3673,"{""dist200_enter"": 100.8, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",True
A/coarse/0003,A,0.40036701606780656,0.371073065919862,-0.39907389087793976,-0.5260381524070864,0.4111988189142808,0.2888814915394988,0.7025348280480338,True,3589870095.33747,113.9,3673,"{""dist200_enter"": 100.8, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",True
A/coarse/0004,A,0.40693491990886743,0.377506484368886,-0.40320021968358755,-0.5305969098426473,0.41753010000178303,0.29554071610498456,0.7078309230968557,True,3842916095.1249933,114.6,3673,"{""dist200_enter"": 100.8, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",True
A/coarse/0005,A,0.3970040246582234,0.36772767652009697,-0.3989359395495149,-0.5259206732311934,0.4109982415918467,0.27885358579972763,0.6784787806383147,False,3471639381.142973,113.9,3673,"{""dist200_enter"": 100.8, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",True
A/coarse/0006,A,0.40325591613089196,0.37387230701793706,-0.4031101306642578,-0.5305212222795836,0.4173975214577299,0.2844639994150413,0.6815181806101097,False,3702514453.2810307,114.6,3673,"{""dist200_enter"": 100.8, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",True
A/coarse/0007,A,0.39658973299257894,0.36738592842851747,-0.39907389087793976,-0.5260381524070864,0.4111988189142808,0.2773650542005657,0.6745278474605387,False,3450154853.3545613,113.9,3673,"{""dist200_enter"": 100.8, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",True
A/coarse/0008,A,0.40297519144919103,0.3736403643742008,-0.40320021968358755,-0.5305969098426473,0.41753010000178303,0.2834611964475895,0.6789000276779542,False,3687080449.8693976,114.6,3673,"{""dist200_enter"": 100.8, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",True
A/coarse/0009,A,0.3997047713362636,0.3703638602553958,-0.3989359395495149,-0.5259206732311934,0.40945126795980635,0.29038522026032254,0.7092058151565624,True,3571592936.399575,115.69999999999999,3673,"{""dist200_enter"": 100.8, ""dist200_exit"": 100.0, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",True
